site,sn,group,tid,unit,low,high,month,day,hour,minute,second,microsec,result,value,fail_msg
5,,setup,CALC comment,,,,05,12,05,38,15,664348,Pass,d3H0As5DGNPoOXMU7tDfzM1eDvcccuME,
5,,fixture setup,vendor_id,,,,05,12,05,38,15,678301,Pass,0x03:TT,
5,,fixture setup,FIXTURE_ID,,,,05,12,05,38,15,699549,Pass,TT-SIP FCT497929,
5,,fixture setup,CALC fixture_channel,,,,05,12,05,38,15,720828,Pass,6,
5,,fixture setup,CALC smt_site,,,,05,12,05,38,15,763324,Pass,YES,
5,,fixture setup,CALC not_rel,,,,05,12,05,38,15,846869,Fail,YES,
5,,fixture setup,CALC smt_site_not_oqc,,,,05,12,05,38,15,887493,Pass,YES,
5,,fixture setup,CALC smt_site_not_rel,,,,05,12,05,38,15,905040,Pass,YES,
5,,fixture setup,CALC smt_site_not_oqc_not_rel,,,,05,12,05,38,15,922117,Pass,YES,
5,,fixture setup,DMM DUT_DETECTION_GND,V,-0.1,0.1,05,12,05,38,15,933530,Pass,0.00009,
5,,fixture setup,DISCONNECT PP_BATT_VCC,,,,05,12,05,38,15,943628,Pass,--PASS--,
5,,fixture setup,DISCONNECT PP_CON_DET_EN_PIN,,,,05,12,05,38,15,954428,Fail,--PASS--,
5,,fixture setup,DISCONNECT PP_VDD_MAIN,,,,05,12,05,38,15,965885,Pass,--PASS--,
5,,fixture setup,RELAY PWR_DISCHARGE_EN,,,,05,12,05,38,15,974305,Pass,--PASS--,
5,,fixture setup,DELAY_500ms,ms,,,05,12,05,38,16,414193,Pass,--PASS--,
5,,fixture setup,DISCONNECT PWR_DISCHARGE_EN,,,,05,12,05,38,16,444771,Pass,--PASS--,
5,,fixture setup,DMM PP_BATT_VCC 0,uA,-0.1,0.1,05,12,05,38,17,14562,Pass,-0.022285,
5,,fixture setup,DMM PP_BATT_VCC 1,mA,-0.001,0.001,05,12,05,38,17,569088,Pass,-0.00023,
5,,fixture setup,current PP_VRECT,mA,-5,5,05,12,05,38,17,647612,Pass,0.278168,
5,,fixture setup,SYSTEM_CURRENT 50,mA,-0.02,0.02,05,12,05,38,17,700049,Pass,0.00007,
5,,station info,eepromread socket_sn,,,,05,12,05,38,17,766169,Pass,X1454L_TT_FCT542627_P2,
5,,station info,eepromread socketboard_sn,,,,05,12,05,38,17,817642,Pass,FN684421DMPKT721Z,
5,,station info,eepromread spring_cnt,,,,05,12,05,38,17,850319,Pass,767,
5,,station info,eepromread pogo_cnt,,,,05,12,05,38,17,878431,Pass,767,
5,,station info,eepromread film_cnt,,,,05,12,05,38,17,905613,Pass,767,
5,,station info,eepromread solaris_sn,,,,05,12,05,38,17,942511,Fail,FN6810610P0JF822F,
5,,station info,CALC 0,,YES,YES,05,12,05,38,17,957179,Pass,YES,
5,,station info,eepromread solaris_first,,,,05,12,05,38,17,985432,Pass,20180921 10:32:48,
5,,station info,eepromread solaris_recent,,,,05,12,05,38,18,12623,Pass,20190512 05:38:15,
5,,station info,eepromread solaris_cnt,,,,05,12,05,38,18,38269,Pass,810,
5,,station info,eepromread sodium_sn,,,,05,12,05,38,18,76340,Pass,FN681130G28JT3C1K,
5,,station info,CALC 1,,YES,YES,05,12,05,38,18,85908,Pass,YES,
5,,station info,eepromread sodium_first,,,,05,12,05,38,18,102768,Pass,20180921 10:32:49,
5,,station info,eepromread sodium_recent,,,,05,12,05,38,18,131199,Pass,20190512 05:38:15,
5,,station info,eepromread sodium_cnt,,,,05,12,05,38,18,169311,Pass,810,
