==Test: setup
==SubTest: CALC comment
			lower:; upper:; value:d3H0As5DGNPoOXMU7tDfzM1eDvcccuME
2019-05-12 05:38:15.664758   PASS
==Test: fixture setup
==SubTest: vendor_id
			lower:; upper:; value:0x03:TT
2019-05-12 05:38:15.678396   PASS
==Test: fixture setup
==SubTest: FIXTURE_ID
			lower:; upper:; value:TT-SIP FCT497929
2019-05-12 05:38:15.699646   PASS
==Test: fixture setup
==SubTest: CALC fixture_channel
			lower:; upper:; value:6
2019-05-12 05:38:15.720999   PASS
==Test: fixture setup
==SubTest: CALC smt_site
			lower:; upper:; value:YES
2019-05-12 05:38:15.763466   PASS
==Test: fixture setup
==SubTest: CALC not_rel
			lower:; upper:; value:YES
2019-05-12 05:38:15.847150   PASS
==Test: fixture setup
==SubTest: CALC smt_site_not_oqc
			lower:; upper:; value:YES
2019-05-12 05:38:15.887617   PASS
==Test: fixture setup
==SubTest: CALC smt_site_not_rel
			lower:; upper:; value:YES
2019-05-12 05:38:15.905140   PASS
==Test: fixture setup
==SubTest: CALC smt_site_not_oqc_not_rel
			lower:; upper:; value:YES
2019-05-12 05:38:15.922210   PASS
==Test: fixture setup
==SubTest: DMM DUT_DETECTION_GND
			lower:-0.1; upper:0.1; value:0.000090
2019-05-12 05:38:15.933649   PASS
==Test: fixture setup
==SubTest: DISCONNECT PP_BATT_VCC
			lower:; upper:; value:--PASS--
2019-05-12 05:38:15.943719   PASS
==Test: fixture setup
==SubTest: DISCONNECT PP_CON_DET_EN_PIN
			lower:; upper:; value:--PASS--
2019-05-12 05:38:15.954540   PASS
==Test: fixture setup
==SubTest: DISCONNECT PP_VDD_MAIN
			lower:; upper:; value:--PASS--
2019-05-12 05:38:15.965981   PASS
==Test: fixture setup
==SubTest: RELAY PWR_DISCHARGE_EN
			lower:; upper:; value:--PASS--
2019-05-12 05:38:15.974412   PASS
==Test: fixture setup
==SubTest: DELAY_500ms
			lower:; upper:; value:--PASS--
2019-05-12 05:38:16.414295   PASS
==Test: fixture setup
==SubTest: DISCONNECT PWR_DISCHARGE_EN
			lower:; upper:; value:--PASS--
2019-05-12 05:38:16.444956   PASS
==Test: fixture setup
==SubTest: DMM PP_BATT_VCC 0
			lower:-0.1; upper:0.1; value:-0.022285
2019-05-12 05:38:17.014662   PASS
